subject_id,windows_s1,accuracy_s1,f1_macro_s1,windows_s2,accuracy_s2,f1_macro_s2
10,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
11,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
12,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
13,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
14,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
15,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
16,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
29,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
30,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
31,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
32,3,1.0,1.0,3,1.0,1.0
33,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
34,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
35,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
36,3,1.0,1.0,3,1.0,1.0
37,2,1.0,1.0,2,1.0,1.0
40,3,1.0,1.0,3,1.0,1.0
41,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
42,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
6,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
7,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
8,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
9,3,0.6666666666666666,0.4,3,0.6666666666666666,0.4
